問題ID,分野,問題文,画像,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説,解説画像
1,ストラテジ系,情報システム戦略の立案に当たり、必ず考慮すべき事項はどれか,,開発期間の短縮方法を検討する,経営戦略との整合性を図る,コストの削減方法を検討する,最新技術の導入を計画する,2,"情報システム戦略は、経営戦略の下に策定され、経営目標の達成に寄与するものでなければなりません。したがって計画立案に当たり、経営事業目標、経営事業戦略、中長期構想などの経営戦略との整合性が求められます。
システム管理基準においても「情報システム全体の最適化目標を経営戦略に基づいて設定すること」や「情報化投資計画は、経営戦略との整合性を考慮して策定すること」などのように経営計画との整合性の重視を強調する管理項目が挙げられています。",
2,テクノロジ系,関係データベースの表を正規化することによって得られる効果として、適切なものはどれか,,使用頻度の高いデータを同じ表にまとめて、更新時のディスクアクセス回数を減らすことができる,データの重複を排除して、更新時におけるデータの不整合の発生を防止することができる,表の大きさを均等にすることで、主記憶の使用効率を向上させることができる,表の数を減らすことで、問合せへの応答時間を短縮することができる,2,関係データベースの正規化は、データベースを構築する際にデータの重複や矛盾を排除して、データの整合性と一貫性を図るために行われます。一般的に関係データベースの正規化は次のように3段階に分けて行います。第１正規化:繰り返し項目をなくす   第２正規化:主キーの一部によって一意に決まる項目を別表に移す   第３正規化:主キー以外の項目によって一意に決まる項目を別表に移す,
3,マネジメント系,a～dのうち，ファシリティマネジメントに関する実施事項として，適切なものだけを全て挙げたものはどれか。aコンピュータを設置した建物への入退館の管理 b社内のPCへのマルウェア対策ソフトの導入と更新管理 c情報システムを構成するソフトウェアのライセンス管理 d停電時のデータ消失防止のための無停電電源装置の設置,,"a, c","a, d","b, d","c, d",2,ファシリティマネジメントは、企業・団体が保有または使用する全施設資産とそれらの利用環境を経営戦略的視点から総合的かつ統括的に企画、管理、活用する経営活動です（参考：日本ファシリティマネジメント協会）。システム環境の基盤となる土地、建物、構築物、設備などの物的な資産や物理的空間が最適な状態であるように管理することを目的とします。具体的には、コンピュータシステムやネットワーク施設基盤が快適であること、安全性が確保されていること、運用費用が少ないこと、最大限効果的に活用されていることなどを目指します。,
4,ストラテジ系,A氏は，インターネット掲示板に投稿された情報が自身のプライバシーを侵害したと判断したので，情報流通プラットフォーム対処法に基づき，その掲示板を運営するX社に対して，投稿者であるB氏の発信者情報の開示を請求した。このとき，X社が情報流通プラットフォーム対処法に基づいて行う対応として，適切なものはどれか。ここで，X社はA氏，B氏双方と連絡が取れるものとする。,,A氏，B氏を交えた話合いの場を設けた上で開示しなければならない。,A氏との間で秘密保持契約を締結して開示しなければならない。,開示するかどうか，B氏に意見を聴かなければならない。,無条件で直ちにA氏に開示しなければならない。,3,情報流通プラットフォーム対処法（旧称：プロバイダ責任制限法）は、Webサイト・SNS・電子掲示板など不特定多数の者に閲覧される電気通信を媒介する事業者に対し、情報流通で権利を侵害された者への対応を義務付ける法律です。対象となる事業者はプロバイダ、ホスティング事業者、電子掲示板の運営者、大規模プラットフォーム事業者などです。Webサイト等への投稿等により自身の権利が侵害されたと判断した者は、プロバイダや電子掲示板の運営者、サーバ管理者に発信者情報（氏名、住所、メールアドレス等）の開示を請求することができます。開示請求を受けたプロバイダなどのサービス提供者は、情報の開示に同意するかどうかについて、発信者の意見を聴く必要があります。これは、発信者のプライバシーや表現の自由といった権利や利益が不当に損なわれないよう、情報流通プラットフォーム対処法で定められている手続きです。発信者の同意がある場合は、請求者に情報を開示しますが、同意が得られなかったり、反対の意思が示された場合には、開示を拒否することが可能です。開示を拒否された被害者は、裁判所に開示を求める訴えを起こすこともできます。設問のケースでは、開示請求者がA氏、発信者がB氏ですので、開示請求を受けたX社は情報の開示についてB氏の意見を聴く義務があります。,
5,テクノロジ系,次の記憶媒体のうち，記憶素子として半導体メモリを用いているものだけを全て挙げたものはどれか。a CD-ROM b DVD-RAM c RAM d SSD e USBメモリ,,"a, b, c","a, b, e","c, d, e","c, e",3,半導体メモリは、電気を通す性質と通さない性質を併せ持つ半導体を記憶素子とし、情報を電気的に記録・保持する装置です。まず、光ディスクであるCD-ROMとDVD-RAMは除外することができます。光ディスクはディスク表面に形成された凹凸（ピットとランド）をレーザー光で読み取る仕組みであり、半導体は使用されていません。残る3つは半導体メモリが使用されています。,
6,テクノロジ系,情報セキュリティのリスクマネジメントにおいて，リスク移転，リスク回避，リスク低減，リスク保有などが分類に用いられることがある。これらに関する記述として，適切なものはどれか。,,リスク対応において，リスクへの対応策を分類したものであり，リスクの顕在化に備えて保険を掛けることは，リスク移転に分類される。,リスク特定において，保有資産の使用目的を分類したものであり，マルウェア対策ソフトのような情報セキュリティ対策で使用される資産は，リスク低減に分類される。,リスク評価において，リスクの評価方法を分類したものであり，管理対象の資産がもつリスクについて，それを回避することが可能かどうかで評価することは，リスク回避に分類される。,リスク分析において，リスクの分析手法を分類したものであり，管理対象の資産がもつ脆弱性を客観的な数値で表す手法は，リスク保有に分類される。,1,"リスク移転、リスク回避、リスク低減、リスク保有の4つは、リスクアセスメントの結果、対応が必要であると評価されたリスクへの対応策です。それぞれの対応策は次のようなものです。リスク移転（リスク共有）:他者とリスクを共有すること, 例）保険に加入する、リスクのある業務をアウトソーシングする   リスク回避:リスク源を除去して、リスクが現実化する確率をゼロにすること,  例）リスクを生じさせる活動を、開始または継続しないと決定する   リスク低減:リスクの起こりやすさ、またはリスクが現実化したときの損失を低下させること,  例）機器を二重化する、入退室管理を厳重にする   リスク受容（リスク保有）:リスクを許容し、あえて何の対策も講じないこと,  例）対策費用が損害額を上回るので対策をとらない",
7,テクノロジ系,個人の身体的，行動的特徴を用いた認証であり，認証のために個人が情報を記憶したり，物を所持したりする必要はないが，認証用の特別な装置が必要なものはどれか。,,公的個人認証,送信ドメイン認証,バイオメトリクス認証,ライセンス認証,3,バイオメトリクス認証(生体認証)は、人間の身体的な特徴や行動の特性など個人に固有の情報を用いて本人の認証を行う仕組みです。事前に本人の生体特徴情報を認証システムに登録しておき、認証時にはセンサーで読み取った情報を比較することで本人確認を行う仕組みになっています。身体的特徴を鍵として用いるものに「指紋認証」「静脈パターン認証」「虹彩認証」「声紋認証」「顔認証」「網膜認証」などがあり、行動的特徴を鍵として用いるものには「筆跡認証」などがあります。,
8,ストラテジ系,実用新案権の保護対象として，適切なものはどれか。,,圧縮比率を大きくしても高い復元性を得られる工夫をした画像処理プログラム,インターネットを利用し，顧客の多様な要望に対応できるビジネスモデル,岩石に含まれているレアメタルを無駄なく抽出して，資源を有効活用する方法,電気スタンドと時計を組み合わせて夜間でも容易に時刻を確かめられる機器,4,"実用新案権とは、物品の形状、構造又は組合せに係る考案に関する権利です。実用新案権が認められるには、特許権と同様に出願して設定登録を受ける必要があります。保護期間は出願日から10年です。
実用新案権の対象となる「形状」「構造」「組合せ」とは次のものをいいます。形状：外部から観察できる物品の外形、構造：物品の機械的構造、組合せ：単独の物品を組み合わせて使用価値を生じさせるもの、一方、特許権は物(プログラムを含む)、方法などの「発明」を対象とします。",
9,ストラテジ系,顧客の特徴に応じたきめ細かい対応を行うことによって，顧客と長期的に良好な関係を築き，顧客満足度の向上や取引関係の継続につなげる仕組みを構築したい。その仕組みの構成要素の一つとして，営業活動で入手した顧客に関する属性情報や顧客との交渉履歴などを蓄積し，社内で共有できるシステムを導入することにした。この目的を達成できるシステムとして，最も適切なものはどれか。,,CAEシステム,MRPシステム,SCMシステム,SFAシステム,4,"SFA(Sales Force Automation)は、営業活動にモバイル技術やインターネット技術といったICTを活用して、営業の質と効率を高め売上や利益の増加につなげようとする仕組みです。SFAシステムはこれを実現するシステムで、営業日報の管理に加えて商談管理機能(コンタクト管理、行動管理、評価・実績管理など)があり、営業担当者個人の支援に加えて営業グループ内で情報の共有を促進するなど、営業活動全体を支援する機能が備わっています。
営業活動のデータを社内で共有とあるので、SFAシステムが適切とわかります。",
10,マネジメント系,本番稼働後の業務遂行のために，業務別にサービス利用方法の手順を示した文書として，最も適切なものはどれか。,,FAQ,サービスレベル合意書,システム要件定義書,利用者マニュアル,4,利用者マニュアルは、システムやソフトウェアを使って行われる業務について、操作や機能の説明、トラブルシューティング方法、システム運用などの手順を文書化したものです。利用者がスムーズにサービスを利用できるようにするためのガイドとしての役割があります。,
11,テクノロジ系,PCで電子メールを読むときに，PCにメールをサーバからダウンロードするのではなくサーバ上で保管し管理する。未読管理やメールの削除やフォルダの振分け状態などが会社や自宅にあるどのPCからも同一に見えるようにできるメールプロトコルはどれか。,,APOP,IMAP4,POP3,SMTP,2,IMAP(Internet Message Access Protocol)は、電子メールの受信に使われるプロトコルで、メールをクライアントのメーラーではなくメールサーバ上で管理します。これによりメール状態の一元管理や複数の端末で同じメールを読むことができるなど、複数の端末を使用する場合に適したメールプロトコルとなっています。POPと違いメールサーバ内のメールを選択して受信することが可能です。,
12,マネジメント系,システムテストで実施する作業の説明として，適切なものはどれか。,,検出されたバグを修正したときには，バグを検出したテストケースだけをやり直す。,正常な値を入力したときのテストを優先し，範囲外の値の入力や必須項目が未入力のときのテストは省略する。,設計書の仕様に基づくだけでなく，プログラムのコードを理解し，不具合を修正しながらテストする。,ソフトウェアの機能的なテストだけでなく，性能などの非機能要件もテストする。,4,"システムテストは、システムとしての要件が満たされているか検証するために行われるテストで、システム要件定義で定められた機能や能力がすべて備わっているかを確認する工程です。
機能テスト，性能テスト，サブシステム間の結合テスト，操作性テストなどに加えてシステムの耐障害性や安全性を確認するために、負荷テストや耐久テスト、例外テストなども含めた総合的なテストが実施されます。",
13,テクノロジ系,ディスプレイ画面の表示では，赤・緑・青の3色を基に，加法混色によって様々な色を作り出している。赤色と緑色と青色を均等に合わせると，何色となるか。,,赤紫,黄,白,緑青,3,,
14,テクノロジ系,受信した電子メールにPKI(公開鍵基盤)を利用したデジタル署名が付与されている場合に判断できることだけを全て挙げたものはどれか。 a.電子メールの添付ファイルはウイルスに感染していない。b.電子メールの内容は通信途中において，他の誰にも盗み見られていない。 c.電子メールの発信者は，なりすましされていない。d.電子メールは通信途中で改ざんされていない。,,"a, b","a, c","b, d","c, d",4,デジタル署名は、公開鍵暗号方式を使って通信内容が改ざんされていないことを保証する技術です。,
15,ストラテジ系,CRMに必要な情報として，適切なものはどれか。,,顧客データ，顧客の購買履歴,設計図面データ,専門家の知識データ,販売日時，販売店，販売商品，販売数量,1,CRM(Customer Relationship Management)は、顧客に関するあらゆる情報を統合管理し、企業活動に役立てる経営手法です。顧客との長期的な関係を築くことを重視し、顧客の満足度と利便性を高めることで、それぞれの顧客の顧客生涯価値を最大化することを目標の一つとしています。CRMシステムでは、各顧客の詳細な属性情報や購買履歴、問合せやクレームの内容などをデータベースで管理し、顧客ごとのきめ細やかなマーケティングを支援します。,
16,マネジメント系,自社で使用する情報システムの開発を外部へ委託した。受入れテストに関する記述のうち，適切なものはどれか。,,委託先が行うシステムテストで不具合が報告されない場合，受入れテストを実施せずに合格とする。,委託先に受入れテストの計画と実施を依頼しなければならない。,委託先の支援を受けるなどし，自社が受入れテストを実施する。,自社で受入れテストを実施し，委託先がテスト結果の合否を判定する。,2,受入れテストは、開発の外部委託において、委託先から成果物が納品される際に成果物の品質を確保するために実施されるテストです。受入れテストは、発注側によって作成されたテスト計画や合否判断をもとに発注側の主導で行われていることが重要です。もし委託先の主導で受入れテストが行われた場合は、テストが疎かになったり、要求したものと異なるシステムが納品されてしまう可能性が高まるからです。,
17,ストラテジ系,一定の条件に該当する会社に対して，取締役の職務に関するコンプライアンスを確保するための体制整備を義務付けている法令はどれか。,,会社法,金融商品取引法,公益通報者保護法,民法,1,会社法は、会社の設立、組織、運営及び管理が適正に行われるように定められた法律です。会社法、及び会社法施行規則では、「取締役等及び使用者の職務の執行が法令及び定款に適合し、かつ、効率的に行われることを確保するための体制」を取締役会で決定すべきと定めています。,
18,マネジメント系,サービスデスクがシステムの使用者から障害の連絡を受けた際の対応として，インシデント管理の観点から適切なものはどれか。,,再発防止を目的とした根本的解決を，復旧に優先して実施する。,システム利用者の業務の継続を優先し，既知の回避策があれば，まずそれを伝える。,障害対処の進捗状況の報告は，連絡を受けた先だけに対して行う。,障害の程度や内容を判断し，適切な連絡先を紹介する。,2,インシデントとは、重大事故に至る可能性がある事態が発生し、なおかつ実際には事故につながらなかった潜在的事例のことをさします。情報処理の分野では、「サービスの中断又はサービス品質の低下を引き起こす、あるいは引き起こす場合がある、サービスの標準オペレーションに含まれていないあらゆるイベント」と定義されています。 インシデント管理とは、このようなサービスの中断を速やかに回復するためのプロセスです。できるだけ短い時間にサービスを回復し、サービスの品質を保つ目的で行われます。インシデント管理おいては、サービスの提供を継続することが最優先目標となるため、適切な対応は「2」になります。,
19,マネジメント系,ITガバナンスに関する記述として，最も適切なものはどれか。,,ITサービスマネジメントに関して，広く利用されているベストプラクティスを集めたもの,システム及びソフトウェア開発とその取引の適正化に向けて，それらのベースとなる作業項目の一つ一つを定義して標準化したもの,経営陣が組織の価値を高めるために実践する行動であり，情報システム戦略の策定及び実現に必要な組織能力のこと,プロジェクトの要求事項を満足させるために，知識，スキル，ツール，技法をプロジェクト活動に適用すること,3,ITガバナンスは、企業が競争優位性を構築するために、IT戦略の策定・実行をガイドし、あるべき方向へ導く組織能力であり、ITへの投資・効果・リスクを継続的に最適化するための組織的な仕組みです。ITを用いた企業統治という意味があります。経営目標を達成するためのIT戦略の策定、組織規模でのIT利活用の推進などがITガバナンスの活動に該当します。ITガバナンスの構築と推進は経営者の責務です。,
20,ストラテジ系,バランススコアカードを用いて戦略立案する際，策定した戦略目標ごとに，その実現のために明確化する事項として，適切なものはどれか。,,企業倫理,経営理念,重要成功要因,ビジョン,3,"バランススコアカードを用いた戦略立案は次のような手順で行います。1.ビジョンと戦略目標の策定,2. 戦略マップの作成, 3.重要成功要因の明確化, 4.業績評価指標(KPI)と数値目標(KGI)の設定, 5.アクションプランの作成, 6.管理とフォローアップ ,   上記のプロセスのうち、「戦略マップの作成」では策定した戦略目標をバランススコアカードの4つの視点に振り分けます。そして、次の「重要成功要因の明確化」においてそれぞれの戦略目標を達成するために重要となる要素を決定します。",
21,ストラテジ系,業務と情報システムを最適にすることを目的として，業務と情報システムの現状の把握と目標とする理想像の設定から現状と理想との乖離を明確にし，目標に向けた改善活動を移行計画として定義したい。このときに用いられる手法として，最も適切なものはどれか。,,BI(Business Intelligence),EA(Enterprise Architecture),MOT(Management of Technology),SOA(Service Oriented Architecture),2,"EA(エンタープライズアーキテクチャ)は、全体最適の観点から業務とシステムを統一的な手法でモデル化し、改善することを目的としたフレームワークです。
モデリングにより業務とシステムの現状（As-Is）とあるべき姿 （To-Be）を整理し、あるべき姿（To-Be）の実現を目指して業務とシステムの改善する、という流れで移行を進めます。主に大企業や政府機関などといった巨大な組織(enterprise)の業務手順や情報システムの標準化、組織の最適化を進めるための方法論として利用されています。",
